index,x,y,z
0,293.2747027,210.1932465,-2.787629992
1,368.4912724,262.1473586,77.74171153
2,178.2300461,237.969537,-3.073182859
3,284.0412972,97.20580758,31.72324649
4,371.8792826,289.2380018,151.3642689
5,171.6277138,281.7160837,56.28235658
6,180.8889106,56.72836696,-67.91475871
7,302.4367088,3.023367849,-40.54824303
8,388.2093,204.6504751,14.07111385
9,236.5742885,373.059607,212.1560827
10,259.5535271,521.8338608,-133.4693055
11,286.3850929,67.91337368,19.01526553
12,201.3227057,412.5600779,136.4438034
13,469.3736924,366.1532532,61.46234246
14,157.5371632,191.665311,-13.21437748
15,259.0045259,438.3185794,-171.9629758
16,260.6117374,296.6540002,151.1443091
17,31.16298971,227.2530655,-47.32078273
18,165.7682042,71.95520971,-95.29849871
19,114.7813086,260.2084245,25.09210587
20,322.0275665,254.1407663,142.7141812
21,80.67977649,473.8803956,40.48791726
22,344.1879242,155.4139073,-36.4610663
23,132.0231463,161.3906429,24.80008728
24,346.1519388,198.9332329,11.84598841
25,110.3544538,515.6200924,-46.81166352
26,292.4035838,134.9501036,6.725796138
27,343.5139899,380.8106876,-82.42852696
28,307.3110765,94.22111437,-98.89892213
29,127.8881278,293.1651738,55.25454381
30,362.9771134,259.8213939,-39.44529311
31,304.5786063,180.0268158,-2.568341971
32,14.21474565,321.784703,-77.18792949
33,261.0693589,169.9568268,-56.6967105
34,533.3711166,88.48326542,-48.34559191
35,361.6481611,218.8377873,-58.7284518
36,200.0988923,158.2692145,-40.98588374
37,304.4032976,275.9238145,19.74364474
38,210.7160265,221.3894356,138.9943817
39,351.4573032,406.4024492,76.09091381
40,168.5796918,218.0815863,-33.45720291
41,370.857368,277.5740603,-63.25765456
42,342.040174,133.7813867,-177.9007458
43,314.2619412,207.3373743,-67.31448036
44,457.0823268,158.8369029,-109.8402511
45,350.5844701,368.4782644,5.451657411
46,352.1584189,174.2428483,166.8574674
47,362.6401773,184.9599243,-39.51888322
48,321.3750761,279.8833556,-145.2728769
49,296.4196366,178.6291897,-19.59953177
50,182.2731789,390.9652612,-44.08187931
51,183.6465992,445.7738862,126.1092012
52,293.2050497,160.2561086,-188.4798813
53,310.9203336,334.5630095,-99.16367784
54,251.7824526,165.5000881,76.09953838
55,201.8420649,214.3425993,-156.9558607
56,236.3892243,319.0173168,57.37882215
57,244.7165566,263.9835776,-66.53519234
58,277.5059737,266.6343093,102.6263638
59,227.784833,359.8305016,-4.89618191
60,366.5708643,359.1362879,-15.96668164
61,238.9305651,255.1108746,59.88044777
62,185.6682049,186.5544271,1.905776413
63,241.9202911,250.0922306,-123.6119219
64,139.8612204,149.1242881,-52.08410863
65,451.3322801,328.60452,-162.7149605
66,315.5515376,231.1750269,-86.43363786
67,248.7375322,139.4449831,-213.8808385
68,391.6457639,384.0957112,233.8215602
69,229.4955051,248.6044002,-2.632019986
70,246.6537827,175.1975636,53.30595006
71,179.5848944,364.2970355,-83.52431233
72,155.9451891,375.7497359,52.56508127
73,271.0825278,61.30217252,77.37898312
74,356.4018025,360.73722,93.62331395
75,162.1732514,265.7752779,-8.262570748
76,226.0727274,347.1409769,101.5434395
77,229.6439791,243.2049264,-60.76529983
78,327.1548445,287.9235995,37.41502026
79,206.8564902,219.5757343,4.827073895
80,325.3124383,349.2280975,-117.5151457
81,321.5419192,182.8637567,-182.9816776
82,183.8036275,352.6203034,-29.89821426
83,220.6960541,267.8667598,-29.53222827
84,258.0480566,325.6715897,-26.96345743
85,206.300004,149.0741619,104.9984712
86,160.514921,292.2780033,137.6192783
87,398.2410185,303.3206592,65.72143564
88,71.7354097,435.4316354,58.72446965
89,273.2810919,319.7743477,-7.991981322
90,386.4533159,191.1863769,17.65834522
91,169.4294508,187.0488843,42.95744502
92,252.6350952,326.1111353,14.00604819
93,340.2785737,196.0029179,59.25489686
94,-54.24675536,198.0529694,4.579798406
95,244.9608241,164.0851994,-49.52245388
96,92.77112073,263.3104775,26.14750753
97,346.3341024,271.9255659,-23.60034491
98,170.75693,217.3844093,145.2312204
99,428.4450399,419.5001199,-42.7389625
100,154.5067241,307.1089366,285.97093
101,294.9650631,425.8258888,163.9677139
102,162.3614446,263.0864741,-113.2604663
103,226.2702454,176.7176264,125.1660824
104,249.5737351,150.5420011,-12.54827817
105,252.5796345,237.6970677,56.55454167
106,415.4851159,325.3261418,157.6683595
107,392.7338599,220.2862372,-77.50128465
108,175.0619889,335.689815,-46.33932705
109,254.2849328,390.3320229,75.34245974
110,133.6287464,169.3316601,-36.67695433
111,110.8659616,140.0502222,-222.4847705
112,183.3089679,344.8168281,96.36983992
113,418.3331448,276.8977554,36.94063457
114,81.24069136,282.5464123,-2.333449692
115,307.6304524,319.7362945,12.51389147
116,296.0334892,97.40607772,223.8312809
117,175.6789529,294.1248831,101.26635
118,314.4985755,268.047119,-86.09646961
119,314.0429162,296.1896199,12.30685944
120,246.2528825,154.5219078,118.5966308
121,234.9610144,258.0658515,116.4888214
122,225.4484618,201.636361,-150.2450205
123,165.6070644,354.3715888,-50.12804876
124,266.5391171,241.3234532,-113.3946544
125,199.4887481,189.9950719,63.96648388
126,266.1524593,150.9160388,-90.71086216
127,188.9941816,337.284887,155.4673109
128,184.2722014,348.1196738,129.5309355
129,195.526132,442.3405015,-24.68094808
130,376.9014707,217.7937788,-126.4811171
131,112.2611119,148.7051348,-78.89869108
132,427.2583576,237.4053869,45.1072113
133,326.8081541,180.2248494,85.21868825
134,93.69698881,187.088948,-3.845395119
135,192.1702117,297.4422101,-256.8027262
136,87.73997598,359.2047596,68.00451756
137,314.6854987,291.3190145,-202.0414561
138,377.6645137,261.3224102,-211.9116055
139,272.9192565,332.0523174,99.8282805
140,371.9053182,227.252467,-118.5973301
141,268.3673087,394.9921987,25.06090911
142,347.0979029,549.909866,9.194409111
143,279.1976129,187.037756,-80.53198617
144,251.4043456,370.9239499,20.61266161
145,327.3664951,371.0802644,-55.03352522
146,234.3678971,302.7150097,4.756393892
147,395.6941833,378.640221,-38.6198504
148,218.4541652,285.4808369,-50.14559308
149,306.71612,314.884513,-65.96431969
150,179.3333726,258.1955748,-89.84500659
151,92.68009883,264.0375298,85.25103589
152,285.795386,313.610648,-45.29139682
153,69.60141875,292.131676,-113.1583173
154,464.9164574,145.3020654,-40.89794438
155,214.5837892,300.9105693,-52.78259752
156,242.2231431,225.4453594,-39.40728526
157,218.9965762,194.4000258,71.34257028
158,264.0773572,346.9934732,-62.77718185
159,284.0185466,156.6129224,-37.95584429
160,166.0121755,222.8888201,64.31484288
161,-5.411330308,143.3942799,44.39305875
162,139.922269,209.785753,-68.70874367
163,201.4749827,489.2847334,96.60285445
164,278.0222717,173.5166715,90.94168766
165,268.3556043,234.8674933,83.91679744
166,325.322538,389.2026693,30.25633321
167,85.70796792,293.8510761,-17.36576996
168,160.7242833,236.1434394,-107.41806
169,205.9045231,180.7096349,-138.3600006
170,402.4113876,317.3564134,-8.479202878
171,522.0512727,217.6100119,1.42021033
172,115.1550856,467.4685746,-26.11924787
173,359.1623244,221.7406598,-11.10011468
174,258.6892495,418.999566,136.3613352
175,305.6182788,337.7590772,162.7365105
176,117.5604027,336.9001644,-110.5946036
177,385.5052269,234.1776532,28.85144428
178,27.89046241,204.0573889,5.196886577
179,118.5298909,224.0077758,67.49648226
180,223.0215833,354.5451835,173.3543903
181,190.6761891,302.4155602,218.7999968
182,252.5826892,63.40354283,71.96202268
183,181.5296702,121.1482402,4.007078883
184,214.3359654,236.4823736,-36.25640441
185,231.5597203,303.6252175,248.6779357
186,227.665774,227.0804839,-76.74153001
187,264.8582345,199.7265005,82.27092676
188,339.6084163,151.5811305,-26.42027636
189,174.6428712,341.3013365,-133.8630381
190,384.7695645,259.9516248,171.5514363
191,254.9178863,418.0457265,-174.2258044
192,376.1042464,120.029267,-214.8764589
193,215.74922,319.1222215,70.01156255
194,163.3760845,304.767634,-30.4321319
195,258.0231037,334.7143696,43.15942791
196,506.3901969,332.6666815,-0.713552011
197,113.4840635,199.2958889,60.06153287
198,317.7324463,231.9354284,-29.56962535
199,267.7453084,266.6411027,90.22363337
200,290.4002842,149.7175985,93.10453439
201,129.4245098,353.1642819,154.8912297
202,295.7133996,2.54951668,126.4029223
203,279.5439278,133.7737594,-10.64487577
204,101.6438245,82.19018521,69.61601434
205,263.124706,359.9760487,41.73652411
206,225.7035361,271.5609355,42.10945751
207,214.6153944,196.7070062,-132.3768377
208,245.436757,259.6312014,75.32194542
209,358.7673203,276.4246818,60.87392638
210,295.8143487,126.0384121,182.0284001
211,145.6606182,264.5952761,116.5582888
212,299.7107674,388.8789994,14.95732481
213,245.5690823,406.4952739,-10.17514203
214,188.3754049,335.3308701,-100.4075957
215,126.0312,275.8296451,181.7713718
216,330.6994189,342.4548672,-106.5416113
217,192.9509813,320.5711097,-186.8992295
218,340.8072541,137.6045183,89.98798331
219,142.346922,158.634227,8.695862626
220,449.4772216,313.4655374,26.44120348
221,513.3729827,183.1492382,18.65691702
222,304.2288231,147.476831,-105.8045612
223,379.6428323,378.9369441,36.88524125
224,204.6600848,256.2727765,-32.27844658
225,194.770277,243.5059886,-46.27712104
226,369.4063008,129.7060306,142.3034044
227,265.1402969,205.1309419,79.10913649
228,112.7970825,215.6572094,-230.0923294
229,257.7287387,159.4880763,21.63076744
230,127.8127476,128.4534573,106.6055695
231,231.4843587,424.7908554,-124.5951515
232,354.8825603,390.940187,-86.3667862
233,395.9414038,239.5026524,100.0265236
234,277.6275282,117.2393867,-45.39866498
235,383.8032191,77.46133003,-197.8220757
236,204.0058791,204.8431262,119.9741892
237,420.069281,24.6489929,-17.43060274
238,177.705215,204.7207069,37.37023208
239,169.0800664,47.85863516,-4.928217061
240,203.9106475,240.5736223,112.0977048
241,175.2557331,269.6412878,-109.8977469
242,301.7420005,231.315415,66.41164196
243,375.2259483,467.1761467,131.8700819
244,251.5508358,229.3703809,-134.9369787
245,281.1299959,423.0279438,-73.95425209
246,111.7564676,279.6252963,164.4635575
247,259.6262815,451.2749844,108.1162904
248,427.0738889,74.43911346,-81.93162914
249,391.269233,141.7513483,-121.4500667
250,140.5224035,221.3027045,28.26826936
251,206.1855597,410.3149288,32.96129072
252,590.6534084,226.0943753,-5.91427641
253,291.8100431,181.9816692,233.3345805
